[Qibo 0.2.12|INFO|2024-09-30 14:25:21]: Loading platform dummy
2024-09-30 14:25:22,251 - qm - INFO     - Starting session: d1674d05-b4d1-4e1a-b210-07f0f6766688
2024-09-30 14:25:24,938 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-30 14:25:25,953 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-30 14:25:26,969 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-30 14:25:28,034 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-30 14:25:28,769 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-30 14:25:28,769 - qm - INFO     - Performing health check
2024-09-30 14:25:28,790 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 14:25:28,790 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 14:25:28,791 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 14:25:28,791 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 14:25:28,791 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 14:25:28,791 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 14:25:28,791 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 14:25:28,791 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 14:25:28,791 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 14:25:28,791 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-30 14:25:31,317 - qm - INFO     - Sending program to QOP for compilation
2024-09-30 14:25:31,442 - qm - INFO     - Executing program
