[Qibo 0.2.12|INFO|2024-09-30 16:57:44]: Loading platform dummy
2024-09-30 16:57:45,636 - qm - INFO     - Starting session: e4ac8455-cf67-4bf9-b251-34d03e29e496
2024-09-30 16:57:48,073 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-30 16:57:49,326 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-30 16:57:50,060 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-30 16:57:50,850 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-30 16:57:52,284 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-30 16:57:52,284 - qm - INFO     - Performing health check
2024-09-30 16:57:52,305 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 16:57:52,305 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 16:57:52,305 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 16:57:52,305 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 16:57:52,305 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 16:57:52,305 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 16:57:52,305 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 16:57:52,305 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 16:57:52,305 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-30 16:57:52,305 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-30 16:57:54,844 - qm - INFO     - Sending program to QOP for compilation
2024-09-30 16:57:55,037 - qm - INFO     - Executing program
