[Qibo 0.2.12|INFO|2024-10-02 05:14:56]: Loading platform dummy
2024-10-02 05:14:57,016 - qm - INFO     - Starting session: fbea41ab-d313-4971-a54e-b39b6ac6b0cd
2024-10-02 05:14:59,414 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-02 05:15:00,149 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-02 05:15:00,884 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-02 05:15:01,707 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-02 05:15:02,429 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-02 05:15:02,429 - qm - INFO     - Performing health check
2024-10-02 05:15:02,450 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:15:02,450 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:15:02,450 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:15:02,450 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:15:02,450 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:15:02,450 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:15:02,450 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:15:02,450 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:15:02,450 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:15:02,450 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.17s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-02 05:15:05,294 - qm - INFO     - Sending program to QOP for compilation
2024-10-02 05:15:05,422 - qm - INFO     - Executing program
