[Qibo 0.2.12|INFO|2024-10-02 19:57:29]: Loading platform dummy
2024-10-02 19:57:30,551 - qm - INFO     - Starting session: 6bf00b3b-7a10-4b88-9b2a-35966d9e39d1
2024-10-02 19:57:33,582 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-02 19:57:34,317 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-02 19:57:35,355 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-02 19:57:36,083 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-02 19:57:36,956 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-02 19:57:36,957 - qm - INFO     - Performing health check
2024-10-02 19:57:36,979 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 19:57:36,980 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 19:57:36,980 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 19:57:36,980 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 19:57:36,980 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 19:57:36,980 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 19:57:36,980 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 19:57:36,980 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 19:57:36,980 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 19:57:36,980 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-02 19:57:39,386 - qm - INFO     - Sending program to QOP for compilation
2024-10-02 19:57:39,632 - qm - INFO     - Executing program
