[Qibo 0.2.12|INFO|2024-10-02 20:46:49]: Loading platform dummy
2024-10-02 20:46:49,767 - qm - INFO     - Starting session: 8ab34028-8bff-4e74-be83-4c93900c62a4
2024-10-02 20:46:52,185 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-02 20:46:53,203 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-02 20:46:54,042 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-02 20:46:55,054 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-02 20:46:56,332 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-02 20:46:56,332 - qm - INFO     - Performing health check
2024-10-02 20:46:56,350 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 20:46:56,351 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 20:46:56,351 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 20:46:56,351 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 20:46:56,351 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 20:46:56,351 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 20:46:56,351 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 20:46:56,351 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 20:46:56,351 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 20:46:56,351 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-10-02 20:46:58,127 - qm - INFO     - Sending program to QOP for compilation
2024-10-02 20:46:58,301 - qm - INFO     - Executing program
2024-10-02 20:47:01,285 - qm - INFO     - Sending program to QOP for compilation
2024-10-02 20:47:01,418 - qm - INFO     - Executing program
