[Qibo 0.2.12|INFO|2024-10-02 05:52:06]: Loading platform dummy
2024-10-02 05:52:06,766 - qm - INFO     - Starting session: 9f4a6a8d-2aa5-4105-9d8c-ed333c8dc29f
2024-10-02 05:52:09,361 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-02 05:52:10,380 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-02 05:52:11,803 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-02 05:52:12,741 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-02 05:52:13,513 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-02 05:52:13,513 - qm - INFO     - Performing health check
2024-10-02 05:52:13,535 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:52:13,536 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:52:13,536 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:52:13,536 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:52:13,536 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:52:13,536 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:52:13,536 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:52:13,536 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:52:13,536 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 05:52:13,536 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-10-02 05:52:16,393 - qm - INFO     - Sending program to QOP for compilation
2024-10-02 05:52:16,576 - qm - INFO     - Executing program
