[Qibo 0.2.12|INFO|2024-10-02 08:04:57]: Loading platform dummy
2024-10-02 08:04:58,318 - qm - INFO     - Starting session: 7bd0a686-2b87-4774-8114-6b5469690716
2024-10-02 08:05:01,005 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-02 08:05:01,738 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-02 08:05:02,621 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-02 08:05:03,401 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-02 08:05:04,636 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-02 08:05:04,636 - qm - INFO     - Performing health check
2024-10-02 08:05:04,657 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 08:05:04,657 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 08:05:04,658 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 08:05:04,658 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 08:05:04,658 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 08:05:04,658 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 08:05:04,658 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 08:05:04,658 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 08:05:04,658 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 08:05:04,658 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-02 08:05:06,645 - qm - INFO     - Sending program to QOP for compilation
2024-10-02 08:05:06,863 - qm - INFO     - Executing program
