[Qibo 0.2.12|INFO|2024-10-02 10:07:57]: Loading platform dummy
2024-10-02 10:07:57,868 - qm - INFO     - Starting session: c6c75a49-17f7-454b-a825-e6b063a65c65
2024-10-02 10:08:00,553 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-02 10:08:01,577 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-02 10:08:02,717 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-02 10:08:03,780 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-02 10:08:04,501 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-02 10:08:04,501 - qm - INFO     - Performing health check
2024-10-02 10:08:04,521 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 10:08:04,521 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 10:08:04,521 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 10:08:04,521 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 10:08:04,521 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 10:08:04,521 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 10:08:04,521 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 10:08:04,521 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 10:08:04,521 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 10:08:04,521 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.17s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-10-02 10:08:06,897 - qm - INFO     - Sending program to QOP for compilation
2024-10-02 10:08:07,148 - qm - INFO     - Executing program
