[Qibo 0.2.12|INFO|2024-10-02 13:21:19]: Loading platform dummy
2024-10-02 13:21:20,274 - qm - INFO     - Starting session: cdb0366c-bd62-4a6d-ad8a-0118a09ee65e
2024-10-02 13:21:22,955 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-02 13:21:24,079 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-02 13:21:24,813 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-02 13:21:26,031 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-02 13:21:27,218 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-02 13:21:27,218 - qm - INFO     - Performing health check
2024-10-02 13:21:27,238 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:21:27,239 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:21:27,239 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:21:27,239 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:21:27,239 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:21:27,239 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:21:27,239 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:21:27,239 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:21:27,239 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:21:27,239 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-10-02 13:21:29,676 - qm - INFO     - Sending program to QOP for compilation
2024-10-02 13:21:29,880 - qm - INFO     - Executing program
