[Qibo 0.2.12|INFO|2024-10-02 13:51:42]: Loading platform dummy
2024-10-02 13:51:43,449 - qm - INFO     - Starting session: d128cc85-132d-4991-9daf-64d6cecdf8ae
2024-10-02 13:51:46,137 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-02 13:51:47,173 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-02 13:51:47,903 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-02 13:51:48,685 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-02 13:51:49,696 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-02 13:51:49,696 - qm - INFO     - Performing health check
2024-10-02 13:51:49,717 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:51:49,717 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:51:49,717 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:51:49,717 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:51:49,717 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:51:49,717 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:51:49,717 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:51:49,717 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:51:49,717 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-02 13:51:49,718 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-02 13:51:52,443 - qm - INFO     - Sending program to QOP for compilation
2024-10-02 13:51:52,686 - qm - INFO     - Executing program
