[Qibo 0.2.12|INFO|2024-10-01 05:35:02]: Loading platform dummy
2024-10-01 05:35:02,693 - qm - INFO     - Starting session: 8a3d4c43-a89a-4d92-b503-cba8b03642dc
2024-10-01 05:35:05,117 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-01 05:35:05,850 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-01 05:35:06,591 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-01 05:35:07,383 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-01 05:35:08,400 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-01 05:35:08,400 - qm - INFO     - Performing health check
2024-10-01 05:35:08,420 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 05:35:08,420 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 05:35:08,420 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 05:35:08,420 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 05:35:08,420 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 05:35:08,420 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 05:35:08,420 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 05:35:08,421 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 05:35:08,421 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 05:35:08,421 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-01 05:35:10,853 - qm - INFO     - Sending program to QOP for compilation
2024-10-01 05:35:11,025 - qm - INFO     - Executing program
