[Qibo 0.2.12|INFO|2024-10-01 07:06:34]: Loading platform dummy
2024-10-01 07:06:35,598 - qm - INFO     - Starting session: 99a36eab-7a70-4461-81a5-e95a8ef6d4b3
2024-10-01 07:06:38,445 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-01 07:06:39,589 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-01 07:06:40,321 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-01 07:06:41,383 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-01 07:06:42,400 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-01 07:06:42,402 - qm - INFO     - Performing health check
2024-10-01 07:06:42,425 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 07:06:42,425 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 07:06:42,425 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 07:06:42,425 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 07:06:42,425 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 07:06:42,425 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 07:06:42,425 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 07:06:42,425 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 07:06:42,425 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-01 07:06:42,425 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-01 07:06:44,922 - qm - INFO     - Sending program to QOP for compilation
2024-10-01 07:06:45,095 - qm - INFO     - Executing program
