[Qibo 0.2.12|INFO|2024-10-04 08:34:13]: Loading platform dummy
2024-10-04 08:34:13,880 - qm - INFO     - Starting session: 34765db7-0283-4657-9930-8991060ea245
2024-10-04 08:34:16,584 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-04 08:34:17,315 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-04 08:34:18,219 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-04 08:34:19,281 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-04 08:34:20,019 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-04 08:34:20,019 - qm - INFO     - Performing health check
2024-10-04 08:34:20,041 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:34:20,041 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:34:20,041 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:34:20,041 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:34:20,041 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:34:20,041 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:34:20,041 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:34:20,041 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:34:20,041 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:34:20,041 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-04 08:34:22,463 - qm - INFO     - Sending program to QOP for compilation
2024-10-04 08:34:22,711 - qm - INFO     - Executing program
