[Qibo 0.2.12|INFO|2024-10-04 08:59:49]: Loading platform dummy
2024-10-04 08:59:50,182 - qm - INFO     - Starting session: d7dae5e6-9f35-496c-a124-b053bf1713cd
2024-10-04 08:59:52,672 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-04 08:59:53,407 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-04 08:59:54,833 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-04 08:59:55,705 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-04 08:59:56,436 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-04 08:59:56,436 - qm - INFO     - Performing health check
2024-10-04 08:59:56,457 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:59:56,457 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:59:56,457 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:59:56,457 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:59:56,457 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:59:56,457 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:59:56,457 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:59:56,457 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:59:56,457 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-04 08:59:56,457 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-04 08:59:59,011 - qm - INFO     - Sending program to QOP for compilation
2024-10-04 08:59:59,259 - qm - INFO     - Executing program
