2024-11-06 11:21:23,137 - qm - INFO     - Starting session: b5063b2a-2243-436f-ad6b-279a731ec5f1
2024-11-06 11:21:26,504 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-06 11:21:27,238 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-06 11:21:28,251 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-06 11:21:29,204 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-06 11:21:30,016 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-06 11:21:30,017 - qm - INFO     - Performing health check
2024-11-06 11:21:30,037 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:21:30,037 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:21:30,037 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:21:30,037 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:21:30,037 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:21:30,038 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:21:30,038 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:21:30,038 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:21:30,038 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:21:30,038 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-06 11:21:32,427 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 11:21:32,623 - qm - INFO     - Executing program
2024-11-06 11:21:46,297 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 11:21:46,498 - qm - INFO     - Executing program
2024-11-06 11:22:19,367 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 11:22:19,563 - qm - INFO     - Executing program
