2024-11-06 11:39:17,903 - qm - INFO     - Starting session: cbbcdcb5-ec5b-45ac-b4d4-f21513fdb2e2
2024-11-06 11:39:20,778 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-06 11:39:21,804 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-06 11:39:22,700 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-06 11:39:23,709 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-06 11:39:24,445 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-06 11:39:24,445 - qm - INFO     - Performing health check
2024-11-06 11:39:24,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:39:24,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:39:24,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:39:24,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:39:24,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:39:24,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:39:24,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:39:24,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:39:24,468 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 11:39:24,468 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-06 11:39:27,030 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 11:39:27,278 - qm - INFO     - Executing program
2024-11-06 11:39:40,467 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 11:39:40,638 - qm - INFO     - Executing program
