2024-11-06 12:27:24,737 - qm - INFO     - Starting session: 53c83d0f-de92-45c5-83ce-3b80d9c5dff7
2024-11-06 12:27:27,920 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-06 12:27:28,652 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-06 12:27:29,388 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-06 12:27:30,120 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-06 12:27:30,988 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-06 12:27:30,989 - qm - INFO     - Performing health check
2024-11-06 12:27:31,010 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 12:27:31,010 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 12:27:31,010 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 12:27:31,010 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 12:27:31,010 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 12:27:31,010 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 12:27:31,010 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 12:27:31,010 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 12:27:31,011 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 12:27:31,011 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-06 12:27:33,825 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 12:27:33,958 - qm - INFO     - Executing program
2024-11-06 12:27:38,683 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 12:27:38,927 - qm - INFO     - Executing program
