2024-11-06 15:03:11,113 - qm - INFO     - Starting session: 3af62ddc-8b8e-456d-ae96-9a52871e951b
2024-11-06 15:03:13,869 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-06 15:03:14,822 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-06 15:03:15,742 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-06 15:03:16,476 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-06 15:03:17,266 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-06 15:03:17,266 - qm - INFO     - Performing health check
2024-11-06 15:03:17,287 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 15:03:17,287 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 15:03:17,288 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 15:03:17,288 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 15:03:17,288 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 15:03:17,288 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 15:03:17,288 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 15:03:17,288 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 15:03:17,288 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 15:03:17,288 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.16s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-06 15:03:20,140 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 15:03:20,269 - qm - INFO     - Executing program
2024-11-06 15:03:23,660 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 15:03:23,912 - qm - INFO     - Executing program
