2024-10-15 10:32:44,214 - qm - INFO     - Starting session: 76e85f8d-5c3a-4421-8e4c-b64b22e15041
2024-10-15 10:32:47,164 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 10:32:48,183 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 10:32:48,992 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 10:32:49,725 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 10:32:50,457 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 10:32:50,457 - qm - INFO     - Performing health check
2024-10-15 10:32:50,479 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:32:50,480 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:32:50,480 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:32:50,480 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:32:50,480 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:32:50,480 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:32:50,480 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:32:50,480 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:32:50,480 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:32:50,480 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 10:32:53,054 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 10:32:53,186 - qm - INFO     - Executing program
