2024-10-15 10:56:45,590 - qm - INFO     - Starting session: 2df3e9cf-7e24-48aa-9cd3-e4c0e90f267b
2024-10-15 10:56:48,288 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 10:56:49,303 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 10:56:50,317 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 10:56:51,333 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 10:56:52,724 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 10:56:52,724 - qm - INFO     - Performing health check
2024-10-15 10:56:52,744 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:56:52,744 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:56:52,744 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:56:52,744 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:56:52,744 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:56:52,744 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:56:52,744 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:56:52,745 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:56:52,745 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 10:56:52,745 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 10:56:55,598 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 10:56:55,729 - qm - INFO     - Executing program
