2024-10-15 13:20:43,403 - qm - INFO     - Starting session: 1367caca-d959-45ae-a527-09ba7ab0a61e
2024-10-15 13:20:46,150 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 13:20:46,892 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 13:20:47,632 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 13:20:48,368 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 13:20:49,773 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 13:20:49,773 - qm - INFO     - Performing health check
2024-10-15 13:20:49,795 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:20:49,795 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:20:49,795 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:20:49,795 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:20:49,796 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:20:49,796 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:20:49,796 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:20:49,796 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:20:49,796 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:20:49,796 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 13:20:52,870 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 13:20:53,847 - qm - WARNING  - pulse 'readout(1000, 0.001, Rectangular())' used in measure is not part of element 'readoutD2' operations
2024-10-15 13:20:53,847 - qm - WARNING  - pulse 'readout(1000, 0.001, Rectangular())' used in measure is not part of element 'readoutD3' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutA2' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutA3' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutA4' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutA5' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutA6' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutB1' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutB2' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutB3' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutB4' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutB5' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutD4' operations
2024-10-15 13:20:53,848 - qm - WARNING  - pulse 'readout(2000, 0.001, Rectangular())' used in measure is not part of element 'readoutD5' operations
2024-10-15 13:20:54,050 - qm - INFO     - Executing program
