2024-10-15 13:42:17,505 - qm - INFO     - Starting session: 21ad198a-39bf-4c27-9829-68d40655eb94
2024-10-15 13:42:20,233 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 13:42:20,974 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 13:42:21,711 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 13:42:22,445 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 13:42:23,464 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 13:42:23,464 - qm - INFO     - Performing health check
2024-10-15 13:42:23,483 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:42:23,484 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:42:23,484 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:42:23,484 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:42:23,484 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:42:23,484 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:42:23,484 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:42:23,484 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:42:23,484 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 13:42:23,484 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 13:42:25,729 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 13:42:25,929 - qm - INFO     - Executing program
