2024-10-15 14:22:52,545 - qm - INFO     - Starting session: 792d83f1-7dab-4f31-99f0-6cf269c6c832
2024-10-15 14:22:55,233 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 14:22:55,967 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 14:22:56,982 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 14:22:57,997 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 14:22:59,195 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 14:22:59,195 - qm - INFO     - Performing health check
2024-10-15 14:22:59,216 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 14:22:59,217 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 14:22:59,217 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 14:22:59,217 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 14:22:59,217 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 14:22:59,217 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 14:22:59,217 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 14:22:59,217 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 14:22:59,217 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 14:22:59,217 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 14:23:02,065 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 14:23:02,239 - qm - INFO     - Executing program
2024-10-15 14:23:15,935 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 14:23:16,184 - qm - INFO     - Executing program
