2024-10-15 15:32:53,498 - qm - INFO     - Starting session: 5994a39c-d777-459f-becf-eb61556d801f
2024-10-15 15:32:56,244 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 15:32:56,978 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 15:32:57,779 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 15:32:58,515 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 15:32:59,529 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 15:32:59,530 - qm - INFO     - Performing health check
2024-10-15 15:32:59,549 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:32:59,549 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:32:59,550 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:32:59,550 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:32:59,550 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:32:59,550 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:32:59,550 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:32:59,550 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:32:59,550 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:32:59,550 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 15:33:01,989 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 15:33:02,177 - qm - INFO     - Executing program
