2024-10-15 15:46:25,222 - qm - INFO     - Starting session: 8eee6e84-fcd2-4e72-847b-83d3a6a65196
2024-10-15 15:46:27,906 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 15:46:28,639 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 15:46:29,375 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 15:46:30,107 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 15:46:31,120 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 15:46:31,120 - qm - INFO     - Performing health check
2024-10-15 15:46:31,142 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:46:31,142 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:46:31,142 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:46:31,142 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:46:31,143 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:46:31,143 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:46:31,143 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:46:31,143 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:46:31,143 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 15:46:31,143 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 15:46:33,852 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 15:46:34,142 - qm - INFO     - Executing program
