2024-10-15 21:00:07,788 - qm - INFO     - Starting session: 895edb00-e24d-4ab8-8a98-2fcd11284462
2024-10-15 21:00:10,788 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 21:00:11,520 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 21:00:12,253 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 21:00:13,413 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 21:00:14,440 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 21:00:14,440 - qm - INFO     - Performing health check
2024-10-15 21:00:14,462 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:00:14,462 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:00:14,462 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:00:14,462 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:00:14,462 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:00:14,462 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:00:14,462 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:00:14,462 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:00:14,462 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:00:14,462 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 21:00:17,561 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 21:00:17,749 - qm - INFO     - Executing program
