2024-10-15 21:11:07,787 - qm - INFO     - Starting session: fa87e102-6cd8-40bb-aff9-7311aa5413b5
2024-10-15 21:11:10,599 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 21:11:11,670 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 21:11:12,404 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 21:11:13,441 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 21:11:14,451 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 21:11:14,451 - qm - INFO     - Performing health check
2024-10-15 21:11:14,471 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:11:14,472 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:11:14,472 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:11:14,472 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:11:14,472 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:11:14,472 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:11:14,472 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:11:14,472 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:11:14,472 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 21:11:14,472 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.19s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-10-15 21:11:16,858 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 21:11:17,142 - qm - INFO     - Executing program
