2024-10-16 07:23:17,003 - qm - INFO     - Starting session: ebe3375b-a127-4153-bf6c-f218d77e20b6
2024-10-16 07:23:19,850 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-16 07:23:20,585 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-16 07:23:21,420 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-16 07:23:22,152 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-16 07:23:22,883 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-16 07:23:22,883 - qm - INFO     - Performing health check
2024-10-16 07:23:22,901 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-16 07:23:22,901 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-16 07:23:22,901 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-16 07:23:22,901 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-16 07:23:22,901 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-16 07:23:22,901 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-16 07:23:22,901 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-16 07:23:22,901 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-16 07:23:22,901 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-16 07:23:22,901 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-16 07:23:25,892 - qm - WARNING  - Open QM ended with warning 0: Opening a new Quantum Machine and closing Quantum Machines: 
2024-10-16 07:23:25,892 - qm - WARNING  - Open QM ended with warning 0: Quantum Machine qm-1729061869512 is canceling running job 1724741865584.
2024-10-16 07:23:25,953 - qm - INFO     - Sending program to QOP for compilation
2024-10-16 07:23:26,142 - qm - INFO     - Executing program
