2024-10-17 15:21:50,334 - qm - INFO     - Starting session: 852cf430-ff04-4ec2-89ab-b3b835740351
2024-10-17 15:21:53,692 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-17 15:21:54,432 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-17 15:21:55,685 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-17 15:21:56,420 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-17 15:21:57,491 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-17 15:21:57,491 - qm - INFO     - Performing health check
2024-10-17 15:21:57,512 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-17 15:21:57,512 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-17 15:21:57,512 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-17 15:21:57,512 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-17 15:21:57,512 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-17 15:21:57,512 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-17 15:21:57,512 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-17 15:21:57,512 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-17 15:21:57,512 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-17 15:21:57,512 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-17 15:22:00,387 - qm - INFO     - Sending program to QOP for compilation
2024-10-17 15:22:00,548 - qm - INFO     - Executing program
2024-10-17 15:22:03,831 - qm - INFO     - Sending program to QOP for compilation
2024-10-17 15:22:04,096 - qm - INFO     - Executing program
