2024-10-21 16:27:29,434 - qm - INFO     - Starting session: 1e2efaea-a406-46df-a7ad-9845cbe7e625
2024-10-21 16:27:32,660 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-21 16:27:33,556 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-21 16:27:34,299 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-21 16:27:35,311 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-21 16:27:36,226 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-21 16:27:36,226 - qm - INFO     - Performing health check
2024-10-21 16:27:36,246 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-21 16:27:36,246 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-21 16:27:36,246 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-21 16:27:36,246 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-21 16:27:36,246 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-21 16:27:36,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-21 16:27:36,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-21 16:27:36,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-21 16:27:36,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-21 16:27:36,247 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.19s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-10-21 16:27:39,189 - qm - INFO     - Sending program to QOP for compilation
2024-10-21 16:27:39,350 - qm - INFO     - Executing program
2024-10-21 16:27:42,609 - qm - INFO     - Sending program to QOP for compilation
2024-10-21 16:27:42,875 - qm - INFO     - Executing program
