2024-10-23 07:32:45,298 - qm - INFO     - Starting session: 6d705292-88ba-4cd4-b2f7-16792b3eaeb3
2024-10-23 07:32:48,144 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-23 07:32:49,106 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-23 07:32:49,970 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-23 07:32:50,705 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-23 07:32:51,442 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-23 07:32:51,443 - qm - INFO     - Performing health check
2024-10-23 07:32:51,466 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-23 07:32:51,466 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-23 07:32:51,466 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-23 07:32:51,466 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-23 07:32:51,466 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-23 07:32:51,466 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-23 07:32:51,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-23 07:32:51,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-23 07:32:51,467 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-23 07:32:51,467 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-23 07:32:54,236 - qm - INFO     - Sending program to QOP for compilation
2024-10-23 07:32:54,410 - qm - INFO     - Executing program
