2024-11-06 17:03:09,474 - qm - INFO     - Starting session: 5dea8d34-7936-427d-aa08-4fd342f82dda
2024-11-06 17:03:12,471 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-06 17:03:13,202 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-06 17:03:14,204 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-06 17:03:15,220 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-06 17:03:15,953 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-06 17:03:15,953 - qm - INFO     - Performing health check
2024-11-06 17:03:15,973 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 17:03:15,973 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 17:03:15,974 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 17:03:15,974 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 17:03:15,974 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 17:03:15,974 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 17:03:15,974 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 17:03:15,974 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 17:03:15,974 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 17:03:15,974 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-06 17:03:18,331 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 17:03:18,517 - qm - INFO     - Executing program
2024-11-06 17:03:30,988 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 17:03:31,225 - qm - INFO     - Executing program
