2024-11-06 18:09:57,643 - qm - INFO     - Starting session: d1f8bb03-6409-4b06-8fd3-0acdbdf1488d
2024-11-06 18:10:00,921 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-06 18:10:02,262 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-06 18:10:02,994 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-06 18:10:04,139 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-06 18:10:05,155 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-06 18:10:05,156 - qm - INFO     - Performing health check
2024-11-06 18:10:05,176 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:10:05,177 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:10:05,177 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:10:05,177 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:10:05,177 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:10:05,177 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:10:05,177 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:10:05,177 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:10:05,177 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:10:05,177 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-06 18:10:07,423 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 18:10:07,637 - qm - INFO     - Executing program
