2024-11-06 18:31:51,329 - qm - INFO     - Starting session: 184adaa4-c195-4321-85c6-9aa254ac849e
2024-11-06 18:31:54,291 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-06 18:31:55,470 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-06 18:31:56,203 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-06 18:31:57,202 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-06 18:31:58,158 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-06 18:31:58,158 - qm - INFO     - Performing health check
2024-11-06 18:31:58,177 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:31:58,178 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:31:58,178 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:31:58,178 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:31:58,178 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:31:58,178 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:31:58,178 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:31:58,178 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:31:58,178 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:31:58,178 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-06 18:32:00,561 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 18:32:00,733 - qm - INFO     - Executing program
2024-11-06 18:32:03,568 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 18:32:03,766 - qm - INFO     - Executing program
