2024-11-06 18:46:57,021 - qm - INFO     - Starting session: e6da9a4b-bc4a-48ee-8c4c-d212d3c238a9
2024-11-06 18:46:59,961 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-06 18:47:00,698 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-06 18:47:01,715 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-06 18:47:02,450 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-06 18:47:03,654 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-06 18:47:03,654 - qm - INFO     - Performing health check
2024-11-06 18:47:03,675 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:47:03,675 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:47:03,675 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:47:03,675 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:47:03,675 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:47:03,675 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:47:03,675 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:47:03,675 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:47:03,675 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 18:47:03,675 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-06 18:47:06,526 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 18:47:06,758 - qm - INFO     - Executing program
