2024-11-06 20:34:04,214 - qm - INFO     - Starting session: cf7f40b5-4e70-409b-9a60-7f4b3afd1139
2024-11-06 20:34:07,389 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-06 20:34:08,556 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-06 20:34:09,575 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-06 20:34:10,420 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-06 20:34:11,429 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-06 20:34:11,429 - qm - INFO     - Performing health check
2024-11-06 20:34:11,451 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 20:34:11,451 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 20:34:11,451 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 20:34:11,451 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 20:34:11,451 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 20:34:11,451 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 20:34:11,451 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 20:34:11,451 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 20:34:11,451 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-06 20:34:11,451 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-06 20:34:13,687 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 20:34:13,857 - qm - INFO     - Executing program
2024-11-06 20:34:16,170 - qm - INFO     - Sending program to QOP for compilation
2024-11-06 20:34:16,431 - qm - INFO     - Executing program
