2024-11-07 08:12:37,227 - qm - INFO     - Starting session: a12222f1-8aa8-43bb-9fea-d80f0460685f
2024-11-07 08:12:40,677 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-07 08:12:41,412 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 08:12:42,329 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 08:12:43,072 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 08:12:43,808 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 08:12:43,808 - qm - INFO     - Performing health check
2024-11-07 08:12:43,829 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 08:12:43,829 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 08:12:43,830 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 08:12:43,830 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 08:12:43,830 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 08:12:43,830 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 08:12:43,830 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 08:12:43,830 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 08:12:43,830 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 08:12:43,830 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-07 08:12:46,365 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 08:12:46,490 - qm - INFO     - Executing program
2024-11-07 08:12:49,853 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 08:12:50,106 - qm - INFO     - Executing program
