2024-11-07 10:07:01,256 - qm - INFO     - Starting session: 4d1cd10e-f6c4-42cd-a5c0-a0e518d808c4
2024-11-07 10:07:04,309 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-07 10:07:05,433 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 10:07:06,165 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 10:07:07,140 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 10:07:08,152 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 10:07:08,152 - qm - INFO     - Performing health check
2024-11-07 10:07:08,173 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 10:07:08,173 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 10:07:08,173 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 10:07:08,173 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 10:07:08,173 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 10:07:08,173 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 10:07:08,173 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 10:07:08,173 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 10:07:08,173 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 10:07:08,173 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-07 10:07:10,731 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 10:07:10,970 - qm - INFO     - Executing program
