2024-11-07 14:59:24,180 - qm - INFO     - Starting session: 3174abd1-f8b1-4d61-84c0-ed6c0d783ec9
2024-11-07 14:59:27,250 - qm - INFO     - Octave "octave2" Health check passed, current temperature 59
2024-11-07 14:59:28,534 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 14:59:29,270 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 14:59:30,452 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 14:59:31,389 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 14:59:31,389 - qm - INFO     - Performing health check
2024-11-07 14:59:31,410 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 14:59:31,410 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 14:59:31,411 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 14:59:31,411 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 14:59:31,411 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 14:59:31,411 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 14:59:31,411 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 14:59:31,411 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 14:59:31,411 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 14:59:31,411 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-07 14:59:33,204 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 14:59:33,331 - qm - INFO     - Executing program
2024-11-07 14:59:45,957 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 14:59:46,214 - qm - INFO     - Executing program
