2024-11-07 15:07:43,778 - qm - INFO     - Starting session: 0c3379ba-954f-4102-bb84-d18c778c6723
2024-11-07 15:07:46,913 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-07 15:07:48,225 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 15:07:48,959 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 15:07:49,973 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 15:07:50,705 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 15:07:50,705 - qm - INFO     - Performing health check
2024-11-07 15:07:50,727 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:07:50,727 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:07:50,727 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:07:50,728 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:07:50,728 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:07:50,728 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:07:50,728 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:07:50,728 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:07:50,728 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:07:50,728 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-11-07 15:07:53,433 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:07:53,616 - qm - INFO     - Executing program
