2024-11-07 15:14:49,367 - qm - INFO     - Starting session: 8b5f6736-84b4-4ac6-ad48-9e593b3b22cc
2024-11-07 15:14:52,584 - qm - INFO     - Octave "octave2" Health check passed, current temperature 59
2024-11-07 15:14:53,862 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 15:14:54,593 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 15:14:55,562 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 15:14:56,573 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 15:14:56,573 - qm - INFO     - Performing health check
2024-11-07 15:14:56,593 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:14:56,593 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:14:56,593 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:14:56,593 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:14:56,593 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:14:56,593 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:14:56,593 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:14:56,593 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:14:56,593 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:14:56,593 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.16s
2024-11-07 15:14:58,838 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:14:58,971 - qm - INFO     - Executing program
2024-11-07 15:15:02,477 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:15:02,739 - qm - INFO     - Executing program
