2024-11-07 15:23:25,729 - qm - INFO     - Starting session: 15724ed2-e986-4306-8b44-35b8be2d96ff
2024-11-07 15:23:28,691 - qm - INFO     - Octave "octave2" Health check passed, current temperature 59
2024-11-07 15:23:29,427 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 15:23:30,444 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 15:23:31,178 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 15:23:31,961 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 15:23:31,961 - qm - INFO     - Performing health check
2024-11-07 15:23:31,983 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:23:31,983 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:23:31,983 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:23:31,983 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:23:31,983 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:23:31,983 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:23:31,983 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:23:31,984 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:23:31,984 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:23:31,984 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-11-07 15:23:34,389 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:23:34,585 - qm - INFO     - Executing program
2024-11-07 15:23:37,932 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:23:38,103 - qm - INFO     - Executing program
