2024-11-07 15:30:48,189 - qm - INFO     - Starting session: ed6a6c11-3f7f-4f18-b9e6-50983056475f
2024-11-07 15:30:50,961 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-07 15:30:51,963 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 15:30:52,695 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 15:30:53,629 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 15:30:54,638 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 15:30:54,638 - qm - INFO     - Performing health check
2024-11-07 15:30:54,660 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:30:54,660 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:30:54,660 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:30:54,660 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:30:54,660 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:30:54,660 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:30:54,660 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:30:54,660 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:30:54,660 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:30:54,660 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-07 15:30:57,029 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:30:57,153 - qm - INFO     - Executing program
2024-11-07 15:30:59,752 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:31:00,022 - qm - INFO     - Executing program
