2024-11-07 15:43:57,721 - qm - INFO     - Starting session: ea50aa1a-1c31-44cf-b34e-bb8b675defe4
2024-11-07 15:44:00,394 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-07 15:44:01,197 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 15:44:01,932 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 15:44:02,951 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 15:44:04,223 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 15:44:04,223 - qm - INFO     - Performing health check
2024-11-07 15:44:04,244 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:44:04,245 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:44:04,245 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:44:04,245 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:44:04,245 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:44:04,245 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:44:04,245 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:44:04,245 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:44:04,245 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:44:04,245 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-07 15:44:07,098 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:44:07,269 - qm - INFO     - Executing program
2024-11-07 15:44:20,541 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:44:20,686 - qm - INFO     - Executing program
2024-11-07 15:45:36,216 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:45:36,344 - qm - INFO     - Executing program
2024-11-07 15:45:40,104 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:45:40,372 - qm - INFO     - Executing program
2024-11-07 15:45:53,886 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:45:54,076 - qm - INFO     - Executing program
2024-11-07 15:49:23,964 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:49:24,213 - qm - INFO     - Executing program
2024-11-07 15:49:28,629 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:49:28,856 - qm - INFO     - Executing program
2024-11-07 15:49:53,152 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:49:53,451 - qm - INFO     - Executing program
