2024-11-07 15:57:27,457 - qm - INFO     - Starting session: 01d9eefb-33fc-42c2-8ce2-1cfbb243ddb8
2024-11-07 15:57:30,142 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-07 15:57:31,293 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 15:57:32,306 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 15:57:33,036 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 15:57:34,257 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 15:57:34,258 - qm - INFO     - Performing health check
2024-11-07 15:57:34,281 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:57:34,281 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:57:34,281 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:57:34,281 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:57:34,281 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:57:34,281 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:57:34,281 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:57:34,281 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:57:34,281 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 15:57:34,281 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-07 15:57:36,704 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:57:36,837 - qm - INFO     - Executing program
2024-11-07 15:57:49,394 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:57:49,548 - qm - INFO     - Executing program
2024-11-07 15:58:52,589 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:58:52,722 - qm - INFO     - Executing program
2024-11-07 15:58:56,488 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:58:56,747 - qm - INFO     - Executing program
2024-11-07 15:59:09,509 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 15:59:09,694 - qm - INFO     - Executing program
2024-11-07 16:02:39,881 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 16:02:40,050 - qm - INFO     - Executing program
2024-11-07 16:02:45,059 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 16:02:45,217 - qm - INFO     - Executing program
2024-11-07 16:03:09,591 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 16:03:09,785 - qm - INFO     - Executing program
