2024-11-07 17:42:14,372 - qm - INFO     - Starting session: 96a1ba17-f6cb-4a92-822d-a021a97f480b
2024-11-07 17:42:17,046 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-07 17:42:17,886 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 17:42:18,621 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-11-07 17:42:19,477 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 17:42:20,211 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 17:42:20,211 - qm - INFO     - Performing health check
2024-11-07 17:42:20,232 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 17:42:20,232 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 17:42:20,232 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 17:42:20,232 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 17:42:20,232 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 17:42:20,232 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 17:42:20,232 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 17:42:20,232 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 17:42:20,232 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 17:42:20,232 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-07 17:42:22,353 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 17:42:22,486 - qm - INFO     - Executing program
2024-11-07 17:42:35,159 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 17:42:35,356 - qm - INFO     - Executing program
2024-11-07 17:43:38,159 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 17:43:38,337 - qm - INFO     - Executing program
2024-11-07 17:43:41,609 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 17:43:41,858 - qm - INFO     - Executing program
2024-11-07 17:43:54,722 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 17:43:54,976 - qm - INFO     - Executing program
2024-11-07 17:47:24,830 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 17:47:25,003 - qm - INFO     - Executing program
2024-11-07 17:47:29,121 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 17:47:29,342 - qm - INFO     - Executing program
2024-11-07 17:47:53,236 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 17:47:53,437 - qm - INFO     - Executing program
