2024-11-07 18:54:42,476 - qm - INFO     - Starting session: 64662db7-897f-44c5-bef6-261c1f899224
2024-11-07 18:54:45,829 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-11-07 18:54:46,992 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-11-07 18:54:48,003 - qm - INFO     - Octave "octave4" Health check passed, current temperature 57
2024-11-07 18:54:48,738 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-11-07 18:54:49,752 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-11-07 18:54:49,753 - qm - INFO     - Performing health check
2024-11-07 18:54:49,773 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 18:54:49,773 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 18:54:49,773 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 18:54:49,773 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 18:54:49,773 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 18:54:49,773 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 18:54:49,773 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 18:54:49,773 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 18:54:49,773 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-11-07 18:54:49,773 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-11-07 18:54:52,310 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 18:54:52,505 - qm - INFO     - Executing program
2024-11-07 18:55:04,895 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 18:55:05,108 - qm - INFO     - Executing program
2024-11-07 18:56:08,149 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 18:56:08,325 - qm - INFO     - Executing program
2024-11-07 18:56:11,722 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 18:56:11,977 - qm - INFO     - Executing program
2024-11-07 18:56:24,197 - qm - INFO     - Sending program to QOP for compilation
2024-11-07 18:56:24,460 - qm - INFO     - Executing program
