[Qibo 0.2.11|INFO|2024-09-18 08:08:19]: Loading platform dummy
2024-09-18 08:08:20,316 - qm - INFO     - Starting session: a429da0a-5523-409a-9ce0-cffcd4ecd38d
2024-09-18 08:08:23,122 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-18 08:08:24,153 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-18 08:08:25,274 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-18 08:08:26,496 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-18 08:08:27,520 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-18 08:08:27,520 - qm - INFO     - Performing health check
2024-09-18 08:08:27,541 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 08:08:27,542 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 08:08:27,542 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 08:08:27,542 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 08:08:27,542 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 08:08:27,542 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 08:08:27,542 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 08:08:27,542 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 08:08:27,542 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 08:08:27,542 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-18 08:08:30,366 - qm - INFO     - Sending program to QOP for compilation
2024-09-18 08:08:30,514 - qm - INFO     - Executing program
