[Qibo 0.2.11|INFO|2024-09-18 09:04:35]: Loading platform dummy
2024-09-18 09:04:36,665 - qm - INFO     - Starting session: 995164fd-9696-4267-b9bc-4fdb9594fb9b
2024-09-18 09:04:39,439 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-18 09:04:40,168 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-18 09:04:40,900 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-18 09:04:41,919 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-18 09:04:42,662 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-18 09:04:42,662 - qm - INFO     - Performing health check
2024-09-18 09:04:42,684 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 09:04:42,684 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 09:04:42,685 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 09:04:42,685 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 09:04:42,685 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 09:04:42,685 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 09:04:42,685 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 09:04:42,685 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 09:04:42,685 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 09:04:42,685 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-18 09:04:45,414 - qm - INFO     - Sending program to QOP for compilation
2024-09-18 09:04:45,603 - qm - INFO     - Executing program
2024-09-18 09:04:58,479 - qm - INFO     - Sending program to QOP for compilation
2024-09-18 09:04:58,747 - qm - INFO     - Executing program
