[Qibo 0.2.11|INFO|2024-09-18 13:44:25]: Loading platform dummy
2024-09-18 13:44:27,073 - qm - INFO     - Starting session: 569b0439-e7c6-4884-92ce-e4c1f53b2604
2024-09-18 13:44:30,028 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-18 13:44:31,273 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-18 13:44:32,010 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-18 13:44:33,348 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-18 13:44:34,358 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-18 13:44:34,358 - qm - INFO     - Performing health check
2024-09-18 13:44:34,379 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 13:44:34,380 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 13:44:34,380 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 13:44:34,380 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 13:44:34,380 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 13:44:34,380 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 13:44:34,380 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 13:44:34,380 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 13:44:34,380 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-18 13:44:34,380 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-09-18 13:44:36,853 - qm - INFO     - Sending program to QOP for compilation
2024-09-18 13:44:36,988 - qm - INFO     - Executing program
2024-09-18 13:44:50,118 - qm - INFO     - Sending program to QOP for compilation
2024-09-18 13:44:50,339 - qm - INFO     - Executing program
2024-09-18 13:44:55,298 - qm - INFO     - Sending program to QOP for compilation
2024-09-18 13:44:55,545 - qm - INFO     - Executing program
