[Qibo 0.2.11|INFO|2024-09-19 06:25:46]: Loading platform dummy
2024-09-19 06:25:47,863 - qm - INFO     - Starting session: dd9123ac-ac7c-4fa4-98a4-8634f9b25638
2024-09-19 06:25:51,146 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-19 06:25:52,157 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-19 06:25:53,529 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-19 06:25:54,543 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-19 06:25:55,276 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-19 06:25:55,276 - qm - INFO     - Performing health check
2024-09-19 06:25:55,298 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:25:55,298 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:25:55,298 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:25:55,298 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:25:55,298 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:25:55,298 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:25:55,298 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:25:55,298 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:25:55,298 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:25:55,298 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.22s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.16s
2024-09-19 06:25:59,141 - qm - INFO     - Sending program to QOP for compilation
2024-09-19 06:25:59,323 - qm - INFO     - Executing program
2024-09-19 06:26:12,411 - qm - INFO     - Sending program to QOP for compilation
2024-09-19 06:26:12,596 - qm - INFO     - Executing program
