[Qibo 0.2.11|INFO|2024-09-19 06:49:27]: Loading platform dummy
2024-09-19 06:49:28,990 - qm - INFO     - Starting session: 12bbd7ca-aab8-45a0-9c43-e5e111aec48c
2024-09-19 06:49:31,753 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-19 06:49:32,766 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-19 06:49:33,727 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-19 06:49:34,909 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-19 06:49:35,639 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-19 06:49:35,640 - qm - INFO     - Performing health check
2024-09-19 06:49:35,661 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:49:35,661 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:49:35,661 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:49:35,661 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:49:35,661 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:49:35,661 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:49:35,661 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:49:35,661 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:49:35,661 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 06:49:35,661 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-09-19 06:49:38,334 - qm - INFO     - Sending program to QOP for compilation
2024-09-19 06:49:38,594 - qm - INFO     - Executing program
