[Qibo 0.2.11|INFO|2024-09-19 07:59:55]: Loading platform dummy
2024-09-19 07:59:57,103 - qm - INFO     - Starting session: 5a0b45b6-8923-4eda-95bd-758b6bb706d4
2024-09-19 07:59:59,933 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-19 08:00:00,671 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-19 08:00:01,404 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-19 08:00:02,142 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-19 08:00:02,873 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-19 08:00:02,873 - qm - INFO     - Performing health check
2024-09-19 08:00:02,895 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:00:02,895 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:00:02,896 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:00:02,896 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:00:02,896 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:00:02,896 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:00:02,896 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:00:02,896 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:00:02,896 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:00:02,896 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-19 08:00:05,424 - qm - INFO     - Sending program to QOP for compilation
2024-09-19 08:00:05,550 - qm - INFO     - Executing program
