[Qibo 0.2.11|INFO|2024-09-19 08:04:43]: Loading platform dummy
2024-09-19 08:04:44,430 - qm - INFO     - Starting session: 942dda5c-3e94-4a8f-ae41-e64d90ff4f07
2024-09-19 08:04:47,680 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-19 08:04:48,413 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-19 08:04:49,147 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-19 08:04:49,880 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-19 08:04:50,890 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-19 08:04:50,890 - qm - INFO     - Performing health check
2024-09-19 08:04:50,910 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:04:50,910 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:04:50,910 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:04:50,910 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:04:50,910 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:04:50,910 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:04:50,910 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:04:50,910 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:04:50,910 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:04:50,910 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-19 08:04:53,154 - qm - INFO     - Sending program to QOP for compilation
2024-09-19 08:04:53,325 - qm - INFO     - Executing program
