[Qibo 0.2.11|INFO|2024-09-19 08:11:30]: Loading platform dummy
2024-09-19 08:11:31,683 - qm - INFO     - Starting session: 9effae13-c0f9-4253-9cf4-51add613756a
2024-09-19 08:11:34,488 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-19 08:11:35,219 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-19 08:11:35,955 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-19 08:11:36,686 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-19 08:11:37,701 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-19 08:11:37,701 - qm - INFO     - Performing health check
2024-09-19 08:11:37,721 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:11:37,721 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:11:37,721 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:11:37,721 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:11:37,721 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:11:37,721 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:11:37,721 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:11:37,721 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:11:37,721 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-19 08:11:37,722 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-19 08:11:40,166 - qm - INFO     - Sending program to QOP for compilation
2024-09-19 08:11:40,345 - qm - INFO     - Executing program
2024-09-19 08:11:53,106 - qm - INFO     - Sending program to QOP for compilation
2024-09-19 08:11:53,352 - qm - INFO     - Executing program
2024-09-19 08:12:06,296 - qm - INFO     - Sending program to QOP for compilation
2024-09-19 08:12:06,570 - qm - INFO     - Executing program
