[Qibo 0.2.11|INFO|2024-09-20 08:21:07]: Loading platform dummy
2024-09-20 08:21:09,003 - qm - INFO     - Starting session: a175f69e-2c46-407f-8882-b4d143aea1a7
2024-09-20 08:21:11,838 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-20 08:21:13,044 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-20 08:21:13,999 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-20 08:21:15,014 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-20 08:21:16,206 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-20 08:21:16,206 - qm - INFO     - Performing health check
2024-09-20 08:21:16,223 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:21:16,223 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:21:16,223 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:21:16,223 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:21:16,223 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:21:16,223 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:21:16,223 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:21:16,223 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:21:16,223 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:21:16,223 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-20 08:21:19,211 - qm - WARNING  - Open QM ended with warning 0: Opening a new Quantum Machine and closing Quantum Machines: 
2024-09-20 08:21:19,212 - qm - WARNING  - Open QM ended with warning 0: Quantum Machine qm-1726818893899 is canceling running job 1724741854084.
2024-09-20 08:21:19,261 - qm - INFO     - Sending program to QOP for compilation
2024-09-20 08:21:19,444 - qm - INFO     - Executing program
