[Qibo 0.2.11|INFO|2024-09-20 08:35:40]: Loading platform dummy
2024-09-20 08:35:41,911 - qm - INFO     - Starting session: 69ee968e-c370-4b68-bcd4-6ce897de8800
2024-09-20 08:35:45,333 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-20 08:35:46,680 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-20 08:35:47,419 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-20 08:35:48,153 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-20 08:35:49,061 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-20 08:35:49,061 - qm - INFO     - Performing health check
2024-09-20 08:35:49,082 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:35:49,082 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:35:49,082 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:35:49,082 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:35:49,082 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:35:49,082 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:35:49,082 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:35:49,082 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:35:49,082 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 08:35:49,082 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-09-20 08:35:51,898 - qm - INFO     - Sending program to QOP for compilation
2024-09-20 08:35:52,031 - qm - INFO     - Executing program
