[Qibo 0.2.11|INFO|2024-09-20 09:55:44]: Loading platform dummy
2024-09-20 09:55:45,404 - qm - INFO     - Starting session: b7e8856a-35ab-4e0f-9713-5f211c5ff90b
2024-09-20 09:55:48,169 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-20 09:55:48,902 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-20 09:55:50,346 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-20 09:55:51,371 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-20 09:55:52,161 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-20 09:55:52,161 - qm - INFO     - Performing health check
2024-09-20 09:55:52,181 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 09:55:52,182 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 09:55:52,182 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 09:55:52,182 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 09:55:52,182 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 09:55:52,182 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 09:55:52,182 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 09:55:52,182 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 09:55:52,182 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-20 09:55:52,182 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.21s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-20 09:55:54,574 - qm - INFO     - Sending program to QOP for compilation
2024-09-20 09:55:54,727 - qm - INFO     - Executing program
