[Qibo 0.2.12|INFO|2024-09-24 13:45:19]: Loading platform dummy
2024-09-24 13:45:20,046 - qm - INFO     - Starting session: edadef21-1222-4079-9604-d282e129f8d6
2024-09-24 13:45:22,758 - qm - INFO     - Octave "octave2" Health check passed, current temperature 59
2024-09-24 13:45:23,787 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-24 13:45:24,521 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-24 13:45:25,302 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-24 13:45:26,738 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-24 13:45:26,738 - qm - INFO     - Performing health check
2024-09-24 13:45:26,759 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-24 13:45:26,759 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-24 13:45:26,759 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-24 13:45:26,759 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-24 13:45:26,759 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-24 13:45:26,759 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-24 13:45:26,759 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-24 13:45:26,759 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-24 13:45:26,759 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-24 13:45:26,759 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.20s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-24 13:45:29,176 - qm - INFO     - Sending program to QOP for compilation
2024-09-24 13:45:29,361 - qm - INFO     - Executing program
