[Qibo 0.2.12|INFO|2024-09-25 13:13:37]: Loading platform dummy
2024-09-25 13:13:37,891 - qm - INFO     - Starting session: 709ad6c2-6c50-4b09-89bc-bd3b81513a73
2024-09-25 13:13:40,617 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-25 13:13:41,352 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 13:13:42,371 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 13:13:43,431 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 13:13:44,190 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 13:13:44,190 - qm - INFO     - Performing health check
2024-09-25 13:13:44,211 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 13:13:44,211 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 13:13:44,211 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 13:13:44,211 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 13:13:44,211 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 13:13:44,211 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 13:13:44,211 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 13:13:44,211 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 13:13:44,212 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 13:13:44,212 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-25 13:13:47,841 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 13:13:48,811 - qm - WARNING  - pulse 'readout(1000, 0.05, Rectangular())' used in measure is not part of element 'readoutD2' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(1000, 0.05, Rectangular())' used in measure is not part of element 'readoutD3' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutA2' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutA3' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutA4' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutA5' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutA6' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutB1' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutB2' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutB3' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutB4' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutB5' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutD4' operations
2024-09-25 13:13:48,812 - qm - WARNING  - pulse 'readout(2000, 0.05, Rectangular())' used in measure is not part of element 'readoutD5' operations
2024-09-25 13:13:49,016 - qm - INFO     - Executing program
