[Qibo 0.2.12|INFO|2024-09-25 16:27:46]: Loading platform dummy
2024-09-25 16:27:47,519 - qm - INFO     - Starting session: 7ff375a7-a3bc-41ca-9aa7-d7ab10e9f2a6
2024-09-25 16:27:50,357 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-25 16:27:51,704 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 16:27:52,440 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 16:27:53,223 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 16:27:54,226 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 16:27:54,227 - qm - INFO     - Performing health check
2024-09-25 16:27:54,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:27:54,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:27:54,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:27:54,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:27:54,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:27:54,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:27:54,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:27:54,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:27:54,247 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:27:54,247 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-25 16:27:57,342 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 16:27:57,530 - qm - INFO     - Executing program
