[Qibo 0.2.12|INFO|2024-09-25 16:47:01]: Loading platform dummy
2024-09-25 16:47:01,681 - qm - INFO     - Starting session: 938b17c8-5a62-4502-bb32-29cac403aa36
2024-09-25 16:47:04,701 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-25 16:47:05,716 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 16:47:06,480 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 16:47:07,549 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 16:47:08,567 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 16:47:08,567 - qm - INFO     - Performing health check
2024-09-25 16:47:08,586 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:47:08,586 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:47:08,586 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:47:08,586 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:47:08,586 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:47:08,586 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:47:08,586 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:47:08,586 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:47:08,586 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 16:47:08,586 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.16s
2024-09-25 16:47:10,926 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 16:47:11,114 - qm - INFO     - Executing program
2024-09-25 16:47:24,000 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 16:47:24,245 - qm - INFO     - Executing program
2024-09-25 16:47:31,337 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 16:47:31,521 - qm - INFO     - Executing program
