[Qibo 0.2.12|INFO|2024-09-25 17:04:26]: Loading platform dummy
2024-09-25 17:04:27,616 - qm - INFO     - Starting session: 207cdfc2-d5fa-4199-b42d-9a6fa174bb0d
2024-09-25 17:04:30,311 - qm - INFO     - Octave "octave2" Health check passed, current temperature 59
2024-09-25 17:04:31,169 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 17:04:32,319 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 17:04:33,230 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 17:04:34,232 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 17:04:34,232 - qm - INFO     - Performing health check
2024-09-25 17:04:34,254 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 17:04:34,254 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 17:04:34,255 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 17:04:34,255 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 17:04:34,255 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 17:04:34,255 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 17:04:34,255 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 17:04:34,255 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 17:04:34,255 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 17:04:34,255 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-25 17:04:36,551 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 17:04:36,732 - qm - INFO     - Executing program
2024-09-25 17:04:49,434 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 17:04:49,732 - qm - INFO     - Executing program
2024-09-25 17:04:52,371 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 17:04:52,605 - qm - INFO     - Executing program
