[Qibo 0.2.12|INFO|2024-09-25 19:59:18]: Loading platform dummy
2024-09-25 19:59:19,285 - qm - INFO     - Starting session: dcfb810b-8f21-42b4-8319-c76996da5335
2024-09-25 19:59:21,708 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-25 19:59:22,872 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 19:59:23,929 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 19:59:24,915 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 19:59:25,917 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 19:59:25,918 - qm - INFO     - Performing health check
2024-09-25 19:59:25,937 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 19:59:25,938 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 19:59:25,938 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 19:59:25,938 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 19:59:25,938 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 19:59:25,938 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 19:59:25,938 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 19:59:25,938 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 19:59:25,938 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 19:59:25,938 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-25 19:59:28,184 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 19:59:28,403 - qm - INFO     - Executing program
2024-09-25 19:59:41,069 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 19:59:41,312 - qm - INFO     - Executing program
